element,in_accepted_trade,owner,status
170,False,,a
434,False,,a
218,False,,a
138,False,,a
185,False,,a
73,False,,a
124,False,,a
263,False,,a
187,False,,a
341,False,,a
420,False,,a
294,False,,a
457,False,,a
470,False,,a
66,False,,a
33,False,,a
529,False,,a
331,False,,a
629,False,,a
302,False,,a
471,False,,a
601,False,,a
146,False,,a
600,False,,a
667,False,,a
579,False,,a
663,False,,a
632,False,,a
400,False,,a
55,False,,a
514,False,,a
422,False,,a
442,False,,a
409,False,,a
340,False,,a
480,False,,a
614,False,,a
37,False,,a
627,False,,a
43,False,,a
363,False,,a
443,False,,a
270,False,,a
159,False,,a
604,False,,a
2,False,,a
153,False,,a
86,False,,a
472,False,,a
152,False,,a
479,False,,a
346,False,,a
489,False,,a
571,False,,a
20,False,,a
254,False,,a
401,False,,a
54,False,,a
545,False,,a
24,False,,a
570,False,,a
630,False,,a
40,False,,a
617,False,,a
61,False,,a
272,False,,a
495,False,,a
336,False,,a
329,False,,a
674,False,,a
429,False,,a
88,False,,a
369,False,,a
264,False,,a
327,False,,a
87,False,,a
659,False,,a
392,False,,a
326,False,,a
319,False,,a
322,False,,a
539,False,,a
209,False,,a
98,False,,a
89,False,,a
484,False,,a
316,False,,a
255,False,,a
376,False,,a
555,False,,a
205,False,,a
581,False,,a
206,False,,a
365,False,,a
317,False,,a
451,False,,a
202,False,,a
493,False,,a
198,False,,a
490,False,,a
647,False,,a
201,False,,a
455,False,,a
328,False,,a
642,False,,a
108,False,,a
186,False,,a
109,False,,a
22,False,,a
50,False,,a
618,False,,a
11,False,,a
354,False,,a
285,False,,a
36,False,,a
494,False,,a
353,False,,a
27,False,,a
85,False,,a
665,False,,a
84,False,,a
487,False,,a
585,False,,a
143,False,,a
147,False,,a
125,False,,a
512,False,,a
522,False,,a
284,False,,a
31,False,,a
12,False,,a
330,False,,a
126,False,,a
199,False,,a
516,False,,a
456,False,,a
140,False,,a
325,False,,a
436,False,,a
271,False,,a
521,False,,a
607,False,,a
332,False,,a
240,False,,a
616,False,,a
605,False,,a
377,False,,a
566,False,,a
517,False,,a
242,False,,a
613,False,,a
550,False,,a
49,False,,a
440,False,,a
259,False,,a
164,False,,a
320,False,,a
379,False,,a
475,False,,a
421,False,,a
219,False,,a
533,False,,a
132,False,,a
352,False,,a
72,False,,a
437,False,,a
81,False,,a
448,False,,a
343,False,,a
549,False,,a
149,False,,a
385,False,,a
531,False,,a
79,False,,a
504,False,,a
292,False,,a
91,False,,a
673,False,,a
342,False,,a
58,False,,a
112,False,,a
587,False,,a
621,False,,a
288,False,,a
438,False,,a
668,False,,a
644,False,,a
111,False,,a
148,False,,a
636,False,,a
459,False,,a
528,False,,a
52,False,,a
150,False,,a
534,False,,a
318,False,,a
303,False,,a
606,False,,a
102,False,,a
589,False,,a
653,False,,a
142,False,,a
194,False,,a
229,False,,a
580,False,,a
386,False,,a
520,False,,a
347,False,,a
296,False,,a
338,False,,a
258,False,,a
383,False,,a
123,False,,a
41,False,,a
321,False,,a
188,False,,a
358,False,,a
18,False,,a
355,False,,a
107,False,,a
519,False,,a
204,False,,a
93,False,,a
261,False,,a
350,False,,a
128,False,,a
315,False,,a
656,False,,a
215,False,,a
491,False,,a
426,False,,a
300,False,,a
648,False,,a
357,False,,a
541,False,,a
344,False,,a
217,False,,a
590,False,,a
78,False,,a
339,False,,a
257,False,,a
560,False,,a
345,False,,a
29,False,,a
214,False,,a
23,False,,a
268,False,,a
154,False,,a
395,False,,a
9,False,,a
564,False,,a
482,False,,a
171,False,,a
92,False,,a
390,False,,a
638,False,,a
39,False,,a
68,False,,a
200,False,,a
230,False,,a
113,False,,a
389,False,,a
583,False,,a
397,False,,a
289,False,,a
211,False,,a
646,False,,a
367,False,,a
59,False,,a
655,False,,a
615,False,,a
196,False,,a
277,False,,a
133,False,,a
278,False,,a
509,False,,a
669,False,,a
556,False,,a
227,False,,a
193,False,,a
535,False,,a
548,False,,a
57,False,,a
498,False,,a
435,False,,a
189,False,,a
609,False,,a
35,False,,a
34,False,,a
360,False,,a
158,False,,a
3,False,,a
239,False,,a
77,False,,a
207,False,,a
423,False,,a
540,False,,a
145,False,,a
245,False,,a
275,False,,a
664,False,,a
454,False,,a
173,False,,a
151,False,,a
51,False,,a
210,False,,a
361,False,,a
223,False,,a
116,False,,a
141,False,,a
411,False,,a
161,False,,a
298,False,,a
503,False,,a
649,False,,a
410,False,,a
536,False,,a
424,False,,a
71,False,,a
191,False,,a
554,False,,a
190,False,,a
290,False,,a
228,False,,a
526,False,,a
635,False,,a
602,False,,a
547,False,,a
511,False,,a
567,False,,a
356,False,,a
241,False,,a
574,False,,a
179,False,,a
532,False,,a
208,False,,a
184,False,,a
380,False,,a
276,False,,a
530,False,,a
304,False,,a
623,False,,a
599,False,,a
633,False,,a
460,False,,a
620,False,,a
247,False,,a
312,False,,a
56,False,,a
394,False,,a
309,False,,a
537,False,,a
349,False,,a
375,False,,a
216,False,,a
351,False,,a
572,False,,a
558,False,,a
74,False,,a
192,False,,a
70,False,,a
524,False,,a
297,False,,a
391,False,,a
273,False,,a
308,False,,a
650,False,,a
465,False,,a
670,False,,a
15,False,,a
25,False,,a
662,False,,a
252,False,,a
118,False,,a
592,False,,a
595,False,,a
660,False,,a
398,False,,a
559,False,,a
634,False,,a
301,False,,a
90,False,,a
103,False,,a
307,False,,a
105,False,,a
129,False,,a
221,False,,a
643,False,,a
166,False,,a
637,False,,a
518,False,,a
584,False,,a
120,False,,a
162,False,,a
177,False,,a
169,False,,a
45,False,,a
244,False,,a
538,False,,a
334,False,,a
44,False,,a
262,False,,a
165,False,,a
458,False,,a
631,False,,a
251,False,,a
641,False,,a
183,False,,a
611,False,,a
622,False,,a
76,False,,a
542,False,,a
197,False,,a
95,False,,a
281,False,,a
658,False,,a
280,False,,a
163,False,,a
246,False,,a
137,False,,a
104,False,,a
167,False,,a
543,False,,a
393,False,,a
608,False,,a
359,False,,a
313,False,,a
279,False,,a
168,False,,a
63,False,,a
500,False,,a
75,False,,a
122,False,,a
481,False,,a
544,False,,a
462,False,,a
557,False,,a
446,False,,a
591,False,,a
497,False,,a
156,False,,a
306,False,,a
576,False,,a
513,False,,a
172,False,,a
195,False,,a
553,False,,a
222,False,,a
144,False,,a
176,False,,a
94,False,,a
243,False,,a
588,False,,a
563,False,,a
213,False,,a
672,False,,a
4,False,,a
598,False,,a
577,False,,a
551,False,,a
461,False,,a
464,False,,a
62,False,,a
639,False,,a
100,False,,a
13,False,,a
561,False,,a
496,False,,a
364,False,,a
626,False,,a
428,False,,a
175,False,,a
69,False,,a
523,False,,a
117,False,,a
586,False,,a
333,False,,a
282,False,,a
231,False,,a
468,False,,a
425,False,,a
510,False,,a
80,False,,a
212,False,,a
65,False,,a
286,False,,a
233,False,,a
619,False,,a
552,False,,a
335,False,,a
60,False,,a
445,False,,a
406,False,,a
483,False,,a
203,False,,a
274,False,,a
368,False,,a
310,False,,a
46,False,,a
433,False,,a
14,False,,a
28,False,,a
155,False,,a
657,False,,a
265,False,,a
99,False,,a
134,False,,a
323,False,,a
396,False,,a
160,False,,a
652,False,,a
467,False,,a
651,False,,a
501,False,,a
130,False,,a
447,False,,a
96,False,,a
42,False,,a
269,False,,a
110,False,,a
180,False,,a
305,False,,a
578,False,,a
248,False,,a
174,False,,a
378,False,,a
562,False,,a
115,False,,a
412,False,,a
463,False,,a
114,False,,a
234,False,,a
594,False,,a
127,False,,a
546,False,,a
131,False,,a
492,False,,a
640,False,,a
645,False,,a
181,False,,a
439,False,,a
675,False,,a
676,False,,a
677,False,,a
680,False,,a
681,False,,a
682,False,,a
683,False,,a
684,False,,a
685,False,,a
291,False,231895,o
178,False,136590,o
525,False,118331,o
671,False,231895,o
478,False,202022,o
476,False,118331,o
314,False,202211,o
502,False,202211,o
625,False,136759,o
373,False,136759,o
469,False,117897,o
32,False,118331,o
337,False,140434,o
295,False,202022,o
232,False,136759,o
287,False,136759,o
419,False,118337,o
366,False,118331,o
381,False,231895,o
474,False,231895,o
399,False,231895,o
372,False,202211,o
405,False,118331,o
449,False,117897,o
628,False,117897,o
324,False,118331,o
1,False,202022,o
596,False,231895,o
507,False,202022,o
416,False,202022,o
48,False,202211,o
408,False,136590,o
253,False,140434,o
624,False,136590,o
64,False,136759,o
224,False,202211,o
226,False,136590,o
17,False,136759,o
565,False,136590,o
38,False,118337,o
101,False,202022,o
432,False,140434,o
21,False,118331,o
53,False,118337,o
374,False,202211,o
388,False,202211,o
488,False,231895,o
260,False,118337,o
414,False,118331,o
527,False,231895,o
404,False,202211,o
597,False,202022,o
348,False,136759,o
610,False,136759,o
220,False,118337,o
508,False,118331,o
370,False,231895,o
135,False,118337,o
499,False,202211,o
30,False,202211,o
569,False,117897,o
515,False,202022,o
430,False,118331,o
16,False,202022,o
612,False,136590,o
661,False,136590,o
225,False,118331,o
5,False,140434,o
505,False,140434,o
283,False,202022,o
267,False,136590,o
266,False,136759,o
485,False,140434,o
573,False,136759,o
362,False,140434,o
384,False,117897,o
47,False,136590,o
235,False,140434,o
256,False,136590,o
654,False,117897,o
236,False,231895,o
418,False,136590,o
387,False,118331,o
450,False,140434,o
182,False,136759,o
106,False,140434,o
427,False,202211,o
82,False,136759,o
413,False,118337,o
121,False,140434,o
299,False,117897,o
568,False,118331,o
477,False,136590,o
97,False,118337,o
19,False,118337,o
8,False,202022,o
119,False,136590,o
237,False,117897,o
402,False,118337,o
486,False,202022,o
431,False,231895,o
157,False,118331,o
67,False,136590,o
466,False,118331,o
582,False,117897,o
6,False,202211,o
250,False,202022,o
407,False,231895,o
417,False,231895,o
7,False,140434,o
249,False,117897,o
403,False,202022,o
26,False,140434,o
593,False,136759,o
311,False,140434,o
473,False,118337,o
139,False,118337,o
575,False,118337,o
453,False,136759,o
452,False,118337,o
382,False,202211,o
10,False,231895,o
136,False,136759,o
415,False,202211,o
666,False,118337,o
293,False,136590,o
83,False,202022,o
371,False,117897,o
444,False,140434,o
506,False,117897,o
441,False,117897,o
603,False,117897,o
238,False,231895,o
678,False,202211,o
679,False,117897,o
